"symbol","date","open","high","low","close","split_coefficient","price","qtr","eps_est","eps","release_time","Beat_Miss","Close","price2"
"FB",2016-08-22,123.33,124.83,123.11,124.15,1,124.15,NA,NA,NA,NA,NA,3.24729675296481,124.37
"GOOGL",2016-08-22,798.51,799.3,794.33,796.95,1,796.95,NA,NA,NA,NA,NA,1.27155963302752,796.59
"NFLX",2016-08-22,95.67,96.13,94.95,95.26,14,1333.64,NA,NA,NA,NA,NA,12.4685863874346,1343.16
"SP500",2016-08-22,2181.58,2185.15,2175.96,2182.64,1,2182.64,NA,NA,NA,NA,NA,2.00223832675901,2186.9
"AAPL",2016-08-23,108.59,109.32,108.53,108.85,28,3047.8,NA,NA,NA,NA,NA,3.5603476473062,3024.84
"AMZN",2016-08-23,763.31,764.7,761,762.45,12,9149.4,NA,NA,NA,NA,NA,5.69417475728155,9087
"FB",2016-08-23,124.51,125.09,124.25,124.37,1,124.37,NA,NA,NA,NA,NA,3.25305112497973,123.48
"GOOGL",2016-08-23,800.48,801,795.99,796.59,1,796.59,NA,NA,NA,NA,NA,1.27098524132429,793.6
"NFLX",2016-08-23,95.68,96.59,95.48,95.94,14,1343.16,NA,NA,NA,NA,NA,12.5575916230367,1332.52
"SP500",2016-08-23,2187.81,2193.42,2186.8,2186.9,1,2186.9,NA,NA,NA,NA,NA,2.00614622511696,2175.44
"AAPL",2016-08-24,108.565,108.75,107.68,108.03,28,3024.84,NA,NA,NA,NA,NA,3.53352647072567,3011.96
"AMZN",2016-08-24,763,763.41,755.36,757.25,12,9087,NA,NA,NA,NA,NA,5.65533980582524,9110.64
"FB",2016-08-24,124.47,124.69,123.09,123.48,1,123.48,NA,NA,NA,NA,NA,3.22977207455574,123.89
"GOOGL",2016-08-24,796.86,798.46,790.76,793.6,1,793.6,NA,NA,NA,NA,NA,1.26621459912246,791.3
"NFLX",2016-08-24,96.13,96.36,94.91,95.18,14,1332.52,NA,NA,NA,NA,NA,12.4581151832461,1362.48
"SP500",2016-08-24,2185.09,2186.66,2171.25,2175.44,1,2175.44,NA,NA,NA,NA,NA,1.99563342812586,2172.47
"AAPL",2016-08-25,107.39,107.88,106.68,107.57,28,3011.96,NA,NA,NA,NA,NA,3.51848044483903,2994.32
"AMZN",2016-08-25,756,760.56,754.741,759.22,12,9110.64,NA,NA,NA,NA,NA,5.67005227781927,9228
"FB",2016-08-25,123.12,124.37,123.1,123.89,1,123.89,NA,NA,NA,NA,NA,3.24049613149263,124.96
"GOOGL",2016-08-25,792,794.72,787.23,791.3,1,791.3,NA,NA,NA,NA,NA,1.26254487435181,793.22
"NFLX",2016-08-25,96.38,98.245,96.04,97.32,14,1362.48,NA,NA,NA,NA,NA,12.738219895288,1366.12
"SP500",2016-08-25,2173.29,2179,2169.74,2172.47,1,2172.47,NA,NA,NA,NA,NA,1.99290890743968,2169.04
"AAPL",2016-08-26,107.41,107.95,106.31,106.94,28,2994.32,NA,NA,NA,NA,NA,3.49787393112471,2990.96
"AMZN",2016-08-26,760.05,770,759.795,769,12,9228,NA,NA,NA,NA,NA,5.74309185959671,9255.48
"FB",2016-08-26,124.05,125.19,123.91,124.96,1,124.96,NA,NA,NA,NA,NA,3.26848330447429,126.54
"GOOGL",2016-08-26,792.49,799.4,789.4069,793.22,1,793.22,NA,NA,NA,NA,NA,1.26560829676905,795.82
"NFLX",2016-08-26,97.33,97.95,96.57,97.58,14,1366.12,NA,NA,NA,NA,NA,12.7722513089005,1362.2
"SP500",2016-08-26,2175.1,2187.94,2160.39,2169.04,1,2169.04,NA,NA,NA,NA,NA,1.98976240711861,2180.38
"AAPL",2016-08-29,106.62,107.44,106.29,106.82,28,2990.96,NA,NA,NA,NA,NA,3.49394888089342,2968
"AMZN",2016-08-29,768.72,774.98,768.6,771.29,12,9255.48,NA,NA,NA,NA,NA,5.76019417475728,9210.96
"FB",2016-08-29,124.35,126.73,124.35,126.54,1,126.54,NA,NA,NA,NA,NA,3.30981015803598,125.84
"GOOGL",2016-08-29,793.05,798.52,790.32,795.82,1,795.82,NA,NA,NA,NA,NA,1.26975668129238,791.92
"NFLX",2016-08-29,96.97,98.4497,96.57,97.3,14,1362.2,NA,NA,NA,NA,NA,12.7356020942408,1364.3
"SP500",2016-08-29,2170.19,2183.48,2170.19,2180.38,1,2180.38,NA,NA,NA,NA,NA,2.00016512246583,2176.12
"AAPL",2016-08-30,105.8,106.5,105.5,106,28,2968,NA,NA,NA,NA,NA,3.46712770431288,2970.8
"AMZN",2016-08-30,771.05,771.8358,765.56,767.58,12,9210.96,NA,NA,NA,NA,NA,5.73248693054518,9229.92
"FB",2016-08-30,126.6,126.6,125.15,125.84,1,125.84,NA,NA,NA,NA,NA,3.29150079253396,126.12
"GOOGL",2016-08-30,792.88,798,789.47,791.92,1,791.92,NA,NA,NA,NA,NA,1.26353410450738,789.85
